Index,Acts number,Acts
0,1 of 1,"Arbitration and Conciliation Act, 1996"
1,1 of 1,"Madras Village Panchayat Amendment Act, 1964"
2,1 of 1,"The Protection of Women from Domestic Violence Act, 2005"
3,0 of 0,Empty
4,1 of 2,"The provisions in the Representation of the People Act, 1951"
,2 of 2,"Sections 83 85 of the Representation of the People Act, 1951"
5,1 of 2,"Tamil Nadu Lease and Rent Control Act, 1960"
,2 of 2,"Pondicherry Buildings Lease and Rent Control Act, 1969"
6,1 of 32,Trial Court and directed creation of the post of trac
,2 of 32,Trial Court that as there is numbersanctioned post of trac
,3 of 32,They must remember that judicial ac
,4 of 32,"Constitution will be upset, and there will be a reac"
,5 of 32,In the name of judicial ac
,6 of 32,It is number the function of a Judge to ac
,7 of 32,"In companytrast, judicial ac"
,8 of 32,Mali  gardener  instead of trac
,9 of 32,Since there is numbersanctioned post of trac
,10 of 32,"Head Office, the appellants started paying them wages of trac"
,11 of 32,Haryana. The learned Single Judge held that the post of trac
,12 of 32,"Tractor Drivers, though there was numberpost of trac"
,13 of 32,Mali in the year 1999 and number as trac
,14 of 32,The Trial Court held that plying a trac
,15 of 32,Sometimes judicial ac
,16 of 32,The judiciary should ac
,17 of 32,"April, 2001 claiming regularization against the posts of trac"
,18 of 32,First Appellate Court. The brief fac
,19 of 32,Trial Court which observed that there was numberpost of trac
,20 of 32,With a view to see that judicial ac
,21 of 32,Constitution. As a reac
,22 of 32,He was also informed that whenever a post of trac
,23 of 32,This is a finding of fac
,24 of 32,Trac
,25 of 32,Court and First Appellate Court to create the posts of trac
,26 of 32,If judges ac
,27 of 32,Court and the learned Single Judge to create the post of trac
,28 of 32,Though they companytinued to work for about a decade as trac
,29 of 32,Congress and the Executive Branch do. When a State ac
,30 of 32,The companyrt sits in judgment on the ac
,31 of 32,While exercising power of judicial review of administrative ac
,32 of 32,The plaintiff-respondent was paid wages of trac
7,1 of 4,"Punjab Custom Power to Contest Act, 1920"
