Index,Sections number,Sections
0,0 of 0,Empty
1,0 of 0,Empty
2,1 of 4,Section 1986 CrPC
,2 of 4,Section 125 CrPC
,3 of 4,Section 2001 CrPC
,4 of 4,Section 1 CrPC
3,1 of 17,Section 482 IPC
,2 of 17,Section 468 IPC
,3 of 17,Section 498 IPC
,4 of 17,Section 498-A IPC
,5 of 17,Section 326 IPC
,6 of 17,Section 34 IPC
,7 of 17,Section 471 IPC
,8 of 17,Section 482 CrPC
,9 of 17,Section 302 IPC
,10 of 17,Section 420 IPC
,11 of 17,Section 320 IPC
,12 of 17,Section 226 CrPC
,13 of 17,Section 9 CrPC
,14 of 17,Section 120-B IPC
,15 of 17,Section 1 IPC
,16 of 17,Section 320 CrPC
,17 of 17,Section 406 IPC
4,0 of 0,Empty
5,0 of 0,Empty
6,0 of 0,Empty
7,0 of 0,Empty
8,0 of 0,Empty
9,0 of 0,Empty
10,1 of 4,Section 306 IPC
,2 of 4,Section 302 IPC
,3 of 4,Section 149 IPC
,4 of 4,Section 201 IPC
11,0 of 0,Empty
12,0 of 0,Empty
13,1 of 12,Section 120 IPC
,2 of 12,Section 34 IPC
,3 of 12,Section 2 IPC
,4 of 12,Section 302 IPC
,5 of 12,Section 1973 CrPC
,6 of 12,Section 5 IPC
,7 of 12,Section 120-B IPC
,8 of 12,Section 3 IPC
,9 of 12,Section 1 IPC
,10 of 12,Section 436 IPC
,11 of 12,Section 120-A IPC
,12 of 12,Section 164 CrPC
14,1 of 1,Section 494 IPC
15,1 of 1,Section 302 IPC
16,0 of 0,Empty
17,0 of 0,Empty
18,0 of 0,Empty
19,0 of 0,Empty
20,0 of 0,Empty
21,0 of 0,Empty
22,0 of 0,Empty
23,0 of 0,Empty
24,1 of 1,Section 188 IPC
25,0 of 0,Empty
26,0 of 0,Empty
27,0 of 0,Empty
28,1 of 2,Section 149 IPC
,2 of 2,Section 302 IPC
29,0 of 0,Empty
30,0 of 0,Empty
31,0 of 0,Empty
32,0 of 0,Empty
33,0 of 0,Empty
34,0 of 0,Empty
35,0 of 0,Empty
36,1 of 2,Section 149 IPC
,2 of 2,Section 201 IPC
37,0 of 0,Empty
38,0 of 0,Empty
39,0 of 0,Empty
40,0 of 0,Empty
41,0 of 0,Empty
42,0 of 0,Empty
43,0 of 0,Empty
44,0 of 0,Empty
45,0 of 0,Empty
46,1 of 3,Section 324 IPC
,2 of 3,Section 417 CrPC
,3 of 3,Section 304 IPC
47,0 of 0,Empty
48,0 of 0,Empty
49,0 of 0,Empty
50,0 of 0,Empty
51,0 of 0,Empty
52,0 of 0,Empty
53,1 of 3,Section 307 IPC
,2 of 3,Section 302 IPC
,3 of 3,Section 34 IPC
54,0 of 0,Empty
55,0 of 0,Empty
56,0 of 0,Empty
57,0 of 0,Empty
58,0 of 0,Empty
59,0 of 0,Empty
60,0 of 0,Empty
61,0 of 0,Empty
62,0 of 0,Empty
63,0 of 0,Empty
64,0 of 0,Empty
65,0 of 0,Empty
66,0 of 0,Empty
67,0 of 0,Empty
68,0 of 0,Empty
69,0 of 0,Empty
70,0 of 0,Empty
71,0 of 0,Empty
72,0 of 0,Empty
73,0 of 0,Empty
74,0 of 0,Empty
75,0 of 0,Empty
76,0 of 0,Empty
77,0 of 0,Empty
78,0 of 0,Empty
79,0 of 0,Empty
80,0 of 0,Empty
81,0 of 0,Empty
82,0 of 0,Empty
83,1 of 1,Section 494 CrPC
84,0 of 0,Empty
85,0 of 0,Empty
86,0 of 0,Empty
87,0 of 0,Empty
88,0 of 0,Empty
89,0 of 0,Empty
90,0 of 0,Empty
91,0 of 0,Empty
92,1 of 7,Section 471 IPC
,2 of 7,Section 197 IPC
,3 of 7,Section 196 IPC
,4 of 7,Section 149 IPC
,5 of 7,Section 200 IPC
,6 of 7,Section 237 CrPC
,7 of 7,Section 150 IPC
93,0 of 0,Empty
94,0 of 0,Empty
95,0 of 0,Empty
96,0 of 0,Empty
97,0 of 0,Empty
98,1 of 10,Section 120 IPC
,2 of 10,Section 36 IPC
,3 of 10,Section 452 IPC
,4 of 10,Section 20 IPC
,5 of 10,Section 302 IPC
,6 of 10,Section 149 IPC
,7 of 10,Section 148 IPC
,8 of 10,Section 325 IPC
,9 of 10,Section 142 IPC
,10 of 10,Section 201 IPC
99,0 of 0,Empty
100,0 of 0,Empty
101,0 of 0,Empty
102,0 of 0,Empty
103,0 of 0,Empty
104,1 of 4,Section 197 CrPC
,2 of 4,Section 465 IPC
,3 of 4,Section 409 IPC
,4 of 4,Section 1 CrPC
105,0 of 0,Empty
106,1 of 2,Section 497 IPC
,2 of 2,Section 14 IPC
107,0 of 0,Empty
108,0 of 0,Empty
109,0 of 0,Empty
110,0 of 0,Empty
111,0 of 0,Empty
112,0 of 0,Empty
113,0 of 0,Empty
114,0 of 0,Empty
115,0 of 0,Empty
116,0 of 0,Empty
117,0 of 0,Empty
118,0 of 0,Empty
119,1 of 6,Section 403 CrPC
,2 of 6,Section 250 IPC
,3 of 6,Section 562 CrPC
,4 of 6,Section 1 CrPC
,5 of 6,Section 332 IPC
,6 of 6,Section 392 IPC
120,0 of 0,Empty
121,0 of 0,Empty
122,0 of 0,Empty
123,1 of 2,Section 177 IPC
,2 of 2,Section 107 IPC
124,0 of 0,Empty
125,1 of 1,Section 28 CrPC
126,0 of 0,Empty
127,0 of 0,Empty
128,0 of 0,Empty
129,0 of 0,Empty
130,1 of 4,Section 149 IPC
,2 of 4,Section 148 IPC
,3 of 4,Section 302 IPC
,4 of 4,Section 34 IPC
131,0 of 0,Empty
132,0 of 0,Empty
133,1 of 1,Section 386 IPC
134,0 of 0,Empty
135,0 of 0,Empty
136,0 of 0,Empty
137,0 of 0,Empty
138,0 of 0,Empty
139,1 of 4,Section 149 IPC
,2 of 4,Section 148 IPC
,3 of 4,Section 302 IPC
,4 of 4,Section 307 IPC
140,0 of 0,Empty
141,0 of 0,Empty
142,0 of 0,Empty
143,0 of 0,Empty
144,0 of 0,Empty
145,0 of 0,Empty
146,0 of 0,Empty
